year,city,product_type,farmer_number,total_area,amount
2008,AGRI,ARPA,,,138
2008,AGRI,YULAF,,,86
2008,AGRI,AYCICEGI,,,1100
2008,AGRI,FIG,,,319
2008,AGRI,YONCA,,,910
2008,AGRI,MISIR,,,2
2008,AGRI,CAVDAR,,,170
2008,AGRI,KORUNGA,,,217
2008,AGRI,CAYIR,,,201
2008,SAMSUN,BAL KABAGI,,,5
2009,AFYONKARAHISAR,BAL KABAGI,1,0.050000001,4
2008,AMASYA,ARMUT,,,1
2008,AMASYA,AYVA,,,25
2008,AMASYA,BUGDAY,,,5
2008,AMASYA,CILEK,,,0
2008,AMASYA,DOMATES,,,0
2008,AMASYA,ELMA,,,45
2008,AMASYA,ERIK,,,0
2008,AMASYA,FASULYE,,,5
2008,AMASYA,HIYAR,,,0
2008,AMASYA,KABAK,,,5
2008,AMASYA,KIRAZ,,,3
2008,AMASYA,SEFTALI,,,1
2008,AMASYA,UZUM,,,1
2008,AMASYA,VISNE,,,0
2008,AMASYA,AHUDUDU,,,0
2008,AMASYA,BOGURTLEN,,,0
2008,AMASYA,CEVIZ,,,2
2008,AMASYA,SOGAN,,,80
2009,ANKARA,BAL KABAGI,2,0.344999999,13
2008,ANKARA,BIBER,,,48
2008,ANKARA,BUGDAY,,,325
2008,ANKARA,DOMATES,,,459
2008,ANKARA,ELMA,,,11
2008,ANKARA,FASULYE,,,7
2008,ANKARA,HIYAR,,,30
2008,ANKARA,KABAK,,,12
2008,ANKARA,KIMYON,,,34
2008,ANKARA,PATLICAN,,,13
2008,ANKARA,UZUM,,,20
2008,ANKARA,ARPA,,,8
2008,ANKARA,SOGAN,,,2500
2008,ANKARA,HAVUC,,,28
2008,ANKARA,KARPUZ,,,15
2008,ANKARA,KAVUN,,,14
2008,ANKARA,BROKOLI,,,2
2008,ANKARA,ROKA,,,1
2008,ANKARA,ISPANAK,,,2
2009,BURSA,BAL KABAGI,3,0.219999999,7
2009,CANAKKALE,BAL KABAGI,1,0.709999979,10
2009,ESKISEHIR,BAL KABAGI,1,0.100000001,3
2009,KOCAELI,BAL KABAGI,1,0.029999999,1
2008,ANKARA,LAHANA,,,1
2009,KONYA,BAL KABAGI,1,0.005,0
2008,ANKARA,TERE,,,1
2008,ANKARA,LAHANA(KIRMIZI),,,3
2008,ANKARA,LAHANA(KARA),,,0
2008,ANTALYA,ADACAYI,,,257
2008,ANTALYA,ARMUT,,,1
